Reference, Value, Footprint, Datasheet, ESR
R46,6.49K,Resistors_SMD:R_1206_HandSoldering,
C16,4.7u,SMD_Packages:SMD-0805,,4m
R41,100K,Resistors_SMD:R_1206_HandSoldering,
Q7,MMBF170,SMD_Packages:SOT-23,
R42,100K,Resistors_SMD:R_1206_HandSoldering,
Q8,MOSFET_P,Transistors_TO-220:TO-220_FET-GDS_Horizontal_LargePads,
Q9,MOSFET_P,Transistors_TO-220:TO-220_FET-GDS_Horizontal_LargePads,
R50,100K,,
R49,100K,,
R47,62K,Resistors_SMD:R_1206_HandSoldering,
R48,10K,Resistors_SMD:R_1206_HandSoldering,
C17,0.1U,SMD_Packages:SMD-0805,
D14,DIODESCH,,
D15,DIODESCH,,
U11,MSP430F247,SMD_Packages:TQFP-64,
U9,CP1,Capacitors_SMD:C_1206_HandSoldering,
U10,C,Capacitors_SMD:C_1206_HandSoldering,
U12,RN4020,,
U13,microSD,,
U14,JTAG_HEADER,,
JP2,JUMPER,,
